uniprot_id	elm	kegg_id	kegg_name
A2VCK8	LIG_Actin_WH2_2	hsa04810	Regulation of actin cytoskeleton 
A5D8V6	LIG_EF_ALG2_ABM_1	hsa04144	Endocytosis
A7XXZ0	DEG_SCF_COI1_1	sly04075	Plant hormone signal transduction 
B2XVS2	DEG_SCF_COI1_1	sly04075	Plant hormone signal transduction 
C0H519	LIG_LIR_Apic_2	pfa04140	Regulation of autophagy 
G5EDL0	DOC_MAPK_FxFP_2	cel04010	MAPK signaling pathway 
G5EDL0	DOC_MAPK_FxFP_2	cel04012	ErbB signaling pathway 
G5EGD2	DEG_ODPH_VHL_1	cel04150	mTOR signaling pathway 
O00141	DOC_AGCK_PIF_1	hsa04068	FoxO signaling pathway 
O00141	DOC_AGCK_PIF_1	hsa04151	PI3K Akt signaling pathway 
O00141	DOC_AGCK_PIF_1	hsa04960	Aldosterone regulated sodium reabsorption 
O00203	LIG_Clathr_ClatBox_1	hsa04142	Lysosome 
O00206	MOD_N-GLC_1	hsa04064	NF kappa B signaling pathway 
O00206	MOD_N-GLC_1	hsa04066	HIF 1 signaling pathway 
O00206	MOD_N-GLC_1	hsa04145	Phagosome 
O00206	MOD_N-GLC_1	hsa04151	PI3K Akt signaling pathway 
O00206	MOD_N-GLC_1	hsa04620	Toll like receptor signaling pathway 
O00206	MOD_N-GLC_1	hsa05130	Pathogenic Escherichia coli infection 
O00206	MOD_N-GLC_1	hsa05132	Salmonella infection 
O00206	MOD_N-GLC_1	hsa05133	Pertussis 
O00206	MOD_N-GLC_1	hsa05134	Legionellosis 
O00206	MOD_N-GLC_1	hsa05140	Leishmaniasis 
O00206	MOD_N-GLC_1	hsa05142	Chagas disease (American trypanosomiasis) 
O00206	MOD_N-GLC_1	hsa05144	Malaria 
O00206	MOD_N-GLC_1	hsa05145	Toxoplasmosis 
O00206	MOD_N-GLC_1	hsa05146	Amoebiasis 
O00206	MOD_N-GLC_1	hsa05152	Tuberculosis 
O00206	MOD_N-GLC_1	hsa05161	Hepatitis B 
O00206	MOD_N-GLC_1	hsa05162	Measles 
O00206	MOD_N-GLC_1	hsa05164	Influenza A 
O00206	MOD_N-GLC_1	hsa05205	Proteoglycans in cancer 
O00206	MOD_N-GLC_1	hsa05321	Inflammatory bowel disease (IBD) 
O00206	MOD_N-GLC_1	hsa05323	Rheumatoid arthritis 
O00221	DEG_SCF_TRCP1_1	hsa04660	T cell receptor signaling pathway 
O00221	DEG_SCF_TRCP1_1	hsa04662	B cell receptor signaling pathway 
O00221	DEG_SCF_TRCP1_1	hsa04722	Neurotrophin signaling pathway 
O00221	DEG_SCF_TRCP1_1	hsa04920	Adipocytokine signaling pathway 
O00221	DEG_SCF_TRCP1_1	hsa05169	Epstein Barr virus infection 
O00268	LIG_HP1_1	hsa03022	Basal transcription factors 
O00268	LIG_HP1_1	hsa05016	Huntington's disease 
O00268	LIG_HP1_1	hsa05168	Herpes simplex infection 
O00291	LIG_Clathr_ClatBox_1	hsa05016	Huntington's disease 
O00291	LIG_PIP2_ANTH_1	hsa05016	Huntington's disease 
O00408	MOD_NMyristoyl	hsa00230	Purine metabolism 
O00408	MOD_NMyristoyl	hsa04022	cGMP PKG signaling pathway 
O00408	MOD_NMyristoyl	hsa05032	Morphine addiction 
O00499	LIG_AP2alpha_1	hsa04144	Endocytosis 
O00499	LIG_Clathr_ClatBox_1	hsa04144	Endocytosis 
O00499	LIG_Clathr_ClatBox_2	hsa04144	Endocytosis 
O00499	LIG_AP2alpha_1	hsa04666	Fc gamma R mediated phagocytosis 
O00499	LIG_Clathr_ClatBox_1	hsa04666	Fc gamma R mediated phagocytosis 
O00499	LIG_Clathr_ClatBox_2	hsa04666	Fc gamma R mediated phagocytosis 
O00571	LIG_eIF4E_2	hsa04622	RIG I like receptor signaling pathway 
O00571	LIG_eIF4E_2	hsa05161	Hepatitis B 
O00571	LIG_eIF4E_2	hsa05203	Viral carcinogenesis 
O00716	DOC_CYCLIN_RXL_1	hsa04110	Cell cycle 
O00716	DOC_CYCLIN_RXL_1	hsa05161	Hepatitis B 
O00716	DOC_CYCLIN_RXL_1	hsa05166	HTLV I infection 
O00716	DOC_CYCLIN_RXL_1	hsa05200	Pathways in cancer 
O00716	DOC_CYCLIN_RXL_1	hsa05206	MicroRNAs in cancer 
O00716	DOC_CYCLIN_RXL_1	hsa05212	Pancreatic cancer 
O00716	DOC_CYCLIN_RXL_1	hsa05214	Glioma 
O00716	DOC_CYCLIN_RXL_1	hsa05215	Prostate cancer 
O00716	DOC_CYCLIN_RXL_1	hsa05218	Melanoma 
O00716	DOC_CYCLIN_RXL_1	hsa05219	Bladder cancer 
